,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
0,PORTERVILLE DEVELOPMENTAL CENTER,Government - State,Acute Care Hospitals,36.043908,-118.980483,26501 AVENUE 140,PORTERVILLE,False,5.0,938.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1,RANDOLPH HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.711958,-79.814825,364 WHITE OAK STREET,ASHEBORO,True,27.0,742.93,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
2,REDMOND REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.278191,-85.194131,501 REDMOND ROAD,ROME,True,65.0,1068.1,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
3,PHYSICIAN'S CARE SURGICAL HOSPITAL,Physician,Acute Care Hospitals,40.216786,-75.553707,454 ENTERPRISE DRIVE,ROYERSFORD,False,37.0,84.11,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
4,HSHS GOOD SHEPHERD HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,39.405801,-88.807113,200 S CEDAR ST,SHELBYVILLE,True,12.0,133.68,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
6,DOCTORS CENTER HOSPITAL BAYAMON,Proprietary,Acute Care Hospitals,18.398094200000003,-66.16642798570447,9 J STREET EXT HERMANAS DAVILA,BAYAMON,True,86.0,453.83,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Not Available
7,MINDEN MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.6172391,-93.2863556,NO 1 MEDICAL PLAZA,MINDEN,True,25.0,352.37,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
8,CENTRAL CAROLINA HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.469093,-79.1888,1135 CARTHAGE ST,SANFORD,True,34.0,512.29,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
9,SCHNECK MEDICAL CENTER,Government - Local,Acute Care Hospitals,38.956734,-85.891356,411 W TIPTON ST,SEYMOUR,True,30.0,865.79,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available
11,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
12,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,5,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available
13,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,2,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Same as the national average,Same as the national average
14,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
15,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
16,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available
17,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
18,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
19,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
20,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
21,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
22,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average
23,PERSHING MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,39.775078,-93.068297,130 EAST LOCKLING,BROOKFIELD,True,12.0,133.26,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available
24,WILLIAMSON MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,37.678237,-82.272031,859 ALDERSON STREET,WILLIAMSON,True,15.0,122.02,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
25,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,Proprietary,Acute Care Hospitals,40.086303,-82.788793,7333 SMITH'S MILL ROAD,NEW ALBANY,False,26.0,259.58,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
26,NORTH METRO MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.872381,-92.124697,1400 BRADEN STREET,JACKSONVILLE,True,17.0,440.36,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Not Available
27,BAPTIST MEDICAL CENTER - BEACHES,Voluntary non-profit - Private,Acute Care Hospitals,30.274527,-81.399469,1350 13TH AVE S,JACKSONVILLE BEACH,True,58.0,636.3,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
28,CENTRO CARDIOVASCULAR,Government - State,Acute Care Hospitals,18.3997905,-66.06815,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,False,57.0,479.64,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
29,HOSPITAL UNIVERSITARIO DE ADULTO,Government - State,Acute Care Hospitals,18.3960081,-66.0738624,BARRIO MONACILLOS CENTROMEDICO,RIO PIEDRAS,True,81.0,577.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30,METROPOLITAN HOSPITAL,Proprietary,Acute Care Hospitals,18.3896633,-66.0988444,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,True,52.0,429.52,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
31,HOSPITAL METROPOLITANO SAN GERMAN,Proprietary,Acute Care Hospitals,18.082493,-67.0401082,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,SAN GERMAN,True,52.0,239.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
32,HIMA-SAN PABLO FAJARDO,Proprietary,Acute Care Hospitals,18.3356291,-65.6532034,GENERAL VALERO AVE#404,FAJARDO,True,24.0,279.84,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
33,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,Government - State,Acute Care Hospitals,18.4215119,-66.0256637,EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL,CAROLINA,True,70.0,267.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
34,PRESBYTERIAN COMMUNITY HOSP,Voluntary non-profit - Other,Acute Care Hospitals,18.4550543,-66.0654679,1451 ASHFORD AVENUE,SAN JUAN,True,56.0,686.8,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
35,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,Government - State,Acute Care Hospitals,18.367268,-66.153811,LAUREL AVE SANTA JUANITA #100,BAYAMON,True,30.0,257.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
36,AUXILIO MUTUO HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,18.4229638,-66.0571476,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,True,69.0,1934.0,1,Same as the national average,Same as the national average,Below the national average,Not Available,Below the national average,Not Available,Not Available
37,HIMA SAN PABLO HUMACAO,Proprietary,Acute Care Hospitals,18.1505887,-65.8266744,CALLE FONT MARTELO #3,HUMACAO,True,62.0,232.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
38,HOSPITAL SAN FRANCISCO,Proprietary,Acute Care Hospitals,18.3990299,-66.0387156,371 DE DIEGO AVE,SAN JUAN,True,72.0,427.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
39,HIMA SAN PABLO BAYAMON,Proprietary,Acute Care Hospitals,18.397664,-66.149674,70 CALLE SANTA CRUZ,BAYAMON,True,76.0,1424.0,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
40,CENTRO MEDICO WILMA N VAZQUEZ,Proprietary,Acute Care Hospitals,18.4433265,-66.4180747,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA,True,26.0,296.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41,LEGENT ORTHOPEDIC + SPINE,Proprietary,Acute Care Hospitals,29.591481,-98.590438,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,True,2.0,72.79,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
42,WILSON MEDICAL CENTER,Government - Local,Critical Access Hospitals,37.408529,-95.7082419,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,True,45.0,109.17,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
43,WILSON MEDICAL CENTER,Government - Local,Critical Access Hospitals,37.408529,-95.7082419,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,True,45.0,109.17,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available
44,HEART OF AMERICA MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,48.363511,-99.996111,800 S MAIN AVE,RUGBY,True,29.0,232.7,4,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average
45,MORGAN COUNTY ARH HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,37.920137,-83.266276,476 LIBERTY ROAD,WEST LIBERTY,True,7.0,143.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
