,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
0,0,PORTERVILLE DEVELOPMENTAL CENTER,Government - State,Acute Care Hospitals,36.043908,-118.980483,26501 AVENUE 140,PORTERVILLE,False,5.0,938.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
1,1,RANDOLPH HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.711958,-79.814825,364 WHITE OAK STREET,ASHEBORO,True,27.0,742.93,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,North Carolina
2,2,REDMOND REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.278191,-85.194131,501 REDMOND ROAD,ROME,True,65.0,1068.1,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Georgia
3,3,PHYSICIAN'S CARE SURGICAL HOSPITAL,Physician,Acute Care Hospitals,40.216786,-75.553707,454 ENTERPRISE DRIVE,ROYERSFORD,False,37.0,84.11,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Pennsylvania
4,4,HSHS GOOD SHEPHERD HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,39.405801,-88.807113,200 S CEDAR ST,SHELBYVILLE,True,12.0,133.68,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Illinois
5,5,DOCTORS CENTER HOSPITAL BAYAMON,Proprietary,Acute Care Hospitals,18.398094200000003,-66.16642798570447,9 J STREET EXT HERMANAS DAVILA,BAYAMON,True,86.0,453.83,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Not Available,Puerto Rico
6,6,MINDEN MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.6172391,-93.2863556,NO 1 MEDICAL PLAZA,MINDEN,True,25.0,352.37,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Louisiana
7,7,CENTRAL CAROLINA HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.469093,-79.1888,1135 CARTHAGE ST,SANFORD,True,34.0,512.29,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,North Carolina
8,8,SCHNECK MEDICAL CENTER,Government - Local,Acute Care Hospitals,38.956734,-85.891356,411 W TIPTON ST,SEYMOUR,True,30.0,865.79,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Indiana
9,9,MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.808529,-94.64301,1401 WEST LOCUST,STILWELL,True,49.0,207.95,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Oklahoma
10,10,PERSHING MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,39.775078,-93.068297,130 EAST LOCKLING,BROOKFIELD,True,12.0,133.26,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,Missouri
11,11,WILLIAMSON MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,37.678237,-82.272031,859 ALDERSON STREET,WILLIAMSON,True,15.0,122.02,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,West Virginia
12,12,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,Proprietary,Acute Care Hospitals,40.086303,-82.788793,7333 SMITH'S MILL ROAD,NEW ALBANY,False,26.0,259.58,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Ohio
13,13,NORTH METRO MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.872381,-92.124697,1400 BRADEN STREET,JACKSONVILLE,True,17.0,440.36,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Not Available,Arkansas
14,14,BAPTIST MEDICAL CENTER - BEACHES,Voluntary non-profit - Private,Acute Care Hospitals,30.274527,-81.399469,1350 13TH AVE S,JACKSONVILLE BEACH,True,58.0,636.3,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Florida
15,15,CENTRO CARDIOVASCULAR,Government - State,Acute Care Hospitals,18.3997905,-66.06815,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,False,57.0,479.64,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
16,16,HOSPITAL UNIVERSITARIO DE ADULTO,Government - State,Acute Care Hospitals,18.3960081,-66.0738624,BARRIO MONACILLOS CENTROMEDICO,RIO PIEDRAS,True,81.0,577.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
17,17,METROPOLITAN HOSPITAL,Proprietary,Acute Care Hospitals,18.3896633,-66.0988444,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,True,52.0,429.52,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
18,18,HOSPITAL METROPOLITANO SAN GERMAN,Proprietary,Acute Care Hospitals,18.082493,-67.0401082,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,SAN GERMAN,True,52.0,239.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
